"","BNF_CODE","TOTAL_QUANTITY","POSTCODE","YEAR_MONTH","UNIDENTIFIED","PRACTICE_NAME","BNF_CHAPTER_PLUS_CODE","ACTUAL_COST","QUANTITY","REGIONAL_OFFICE_CODE","ITEMS","ADDRESS_4","AREA_TEAM_CODE","ADDRESS_2","ADDRESS_3","BNF_CHEMICAL_SUBSTANCE","ADQUSAGE","PCO_CODE","REGIONAL_OFFICE_NAME","NIC","CHEMICAL_SUBSTANCE_BNF_DESCR","PRACTICE_CODE","PCO_NAME","AREA_TEAM_NAME","BNF_DESCRIPTION","ADDRESS_1","STP_NAME","STP_CODE","ICB_NAME","ICB_CODE"
"1","0404000W0AAABAB",30,"LE15 7PP",201904,FALSE,"MARKET OVERTON & SOMERBY SURGERIES","04: Central Nervous System",288.02913,30,"Y55",1,"RUTLAND","Q59","THISTLETON ROAD","MARKET OVERTON","0404000W0",0,"03W00","MIDLANDS AND EAST OF ENGLAND",310,"Pitolisant hydrochloride","C82649","EAST LEICESTERSHIRE AND RUTLAND CCG","LEICESTERSHIRE & LINCOLNSHIRE AREA","Pitolisant 4.5mg tablets","MKT OVERTON&SOMERBY SRYS",NA,NA,NA,NA
"2","0404000W0AAAAAA",60,"CB22 3HU",201904,FALSE,"GRANTA MEDICAL PRACTICES","04: Central Nervous System",576.04586,60,"Y55",1,NA,"Q56","LONDON ROAD, SAWSTON","CAMBRIDGE","0404000W0",0,"06H00","MIDLANDS AND EAST OF ENGLAND",620,"Pitolisant hydrochloride","D81043","CAMBRIDGESHIRE AND PETERBOROUGH CCG","EAST ANGLIA AREA","Pitolisant 18mg tablets","SAWSTON MEDICAL CENTRE",NA,NA,NA,NA
"3","0404000W0AAAAAA",60,"NE35 9AN",201904,FALSE,"DR THORNILEY-WALKER & PARTNERS","04: Central Nervous System",596.04586,60,"Y54",1,"TYNE & WEAR","Q49","GIBSON COURT","BOLDON COLLIERY","0404000W0",0,"00N00","NORTH OF ENGLAND",620,"Pitolisant hydrochloride","A88009","SOUTH TYNESIDE CCG","CUMBRIA,NORTHUMB,TYNE & WEAR AREA","Pitolisant 18mg tablets","THE MEDICAL CENTRE",NA,NA,NA,NA
"4","0404000W0AAAAAA",30,"DH4 6RQ",201904,FALSE,"WEST RAINTON SURGERY","04: Central Nervous System",288.02913,30,"Y54",1,"COUNTY DURHAM","Q45","WEST RAINTON","HOUGHTON-LE-SPRING","0404000W0",0,"00J00","NORTH OF ENGLAND",310,"Pitolisant hydrochloride","A83024","NORTH DURHAM CCG","DURHAM, DARLINGTON AND TEES AREA","Pitolisant 18mg tablets","THE SURGERY,WOODLAND VIEW",NA,NA,NA,NA
"5","0404000W0AAABAB",60,"LE15 7PP",201904,FALSE,"MARKET OVERTON & SOMERBY SURGERIES","04: Central Nervous System",576.04586,60,"Y55",1,"RUTLAND","Q59","THISTLETON ROAD","MARKET OVERTON","0404000W0",0,"03W00","MIDLANDS AND EAST OF ENGLAND",620,"Pitolisant hydrochloride","C82649","EAST LEICESTERSHIRE AND RUTLAND CCG","LEICESTERSHIRE & LINCOLNSHIRE AREA","Pitolisant 4.5mg tablets","MKT OVERTON&SOMERBY SRYS",NA,NA,NA,NA
"6","0404000W0BBAAAA",7,"LE3 0QR",201904,FALSE,"WESTCOTES GP SURGERY (ONE)","04: Central Nervous System",67.31321,7,"Y55",1,NA,"Q59","2 WESTCOTES DRIVE","LEICESTER","0404000W0",0,"04C00","MIDLANDS AND EAST OF ENGLAND",72.33,"Pitolisant hydrochloride","C82059","LEICESTER CITY CCG","LEICESTERSHIRE & LINCOLNSHIRE AREA","Wakix 18mg tablets","WESTCOTES GP SURGERY (1)",NA,NA,NA,NA
"7","0404000W0AAAAAA",60,"YO7 1LU",201904,FALSE,"LAMBERT MEDICAL CENTRE","04: Central Nervous System",596.04586,60,"Y54",1,"NORTH YORKSHIRE","Q50","2 CHAPEL STREET","THIRSK","0404000W0",0,"03D00","NORTH OF ENGLAND",620,"Pitolisant hydrochloride","B82042","HAMBLETON, RICHMONDSHIRE AND WHITBY CCG","NORTH YORKSHIRE AND HUMBER AREA","Pitolisant 18mg tablets","THE LAMBERT MEDICAL CTR",NA,NA,NA,NA
"8","0404000W0AAABAB",60,"MK6 4NG",201904,FALSE,"THE GROVE SURGERY","04: Central Nervous System",576.04586,60,"Y55",1,"BUCKINGHAMSHIRE","Q58","FARTHING GR, NETHERFIELD","MILTON KEYNES","0404000W0",0,"04F00","MIDLANDS AND EAST OF ENGLAND",620,"Pitolisant hydrochloride","K82610","MILTON KEYNES CCG","HERTFORDSHIRE & SOUTH MIDLANDS AREA","Pitolisant 4.5mg tablets","THE GROVE SURGERY",NA,NA,NA,NA
"9","0404000W0AAAAAA",30,"DL9 3JD",201904,FALSE,"HAREWOOD MEDICAL PRACTICE","04: Central Nervous System",288.02913,30,"Y54",1,"NORTH YORKSHIRE","Q50","42 RICHMOND ROAD","CATTERICK GARRISON","0404000W0",0,"03D00","NORTH OF ENGLAND",310,"Pitolisant hydrochloride","B82104","HAMBLETON, RICHMONDSHIRE AND WHITBY CCG","NORTH YORKSHIRE AND HUMBER AREA","Pitolisant 18mg tablets","THE HAREWOOD MED PRACTICE",NA,NA,NA,NA
"10","0404000W0AAAAAA",60,"HX3 8AF",201904,FALSE,"DR CHIN AND PARTNERS","04: Central Nervous System",576.04586,60,"Y54",1,"WEST YORKSHIRE","Q52","4 ROYDLANDS STREET","HIPPERHOLME, HALIFAX","0404000W0",0,"02T00","NORTH OF ENGLAND",620,"Pitolisant hydrochloride","B84008","CALDERDALE CCG","WEST YORKSHIRE AREA","Pitolisant 18mg tablets","KOS CLINIC",NA,NA,NA,NA
"11","0404000W0BBAAAA",28,"LE3 0QR",201904,FALSE,"WESTCOTES GP SURGERY (ONE)","04: Central Nervous System",269.04661,14,"Y55",2,NA,"Q59","2 WESTCOTES DRIVE","LEICESTER","0404000W0",0,"04C00","MIDLANDS AND EAST OF ENGLAND",289.34,"Pitolisant hydrochloride","C82059","LEICESTER CITY CCG","LEICESTERSHIRE & LINCOLNSHIRE AREA","Wakix 18mg tablets","WESTCOTES GP SURGERY (1)",NA,NA,NA,NA
"12","0404000W0AAAAAA",60,"TS9 6BL",201904,FALSE,"GREAT AYTON SURGERY","04: Central Nervous System",596.04586,60,"Y54",1,"NORTH YORKSHIRE","Q50","ROSEHILL","GREAT AYTON","0404000W0",0,"03D00","NORTH OF ENGLAND",620,"Pitolisant hydrochloride","B82022","HAMBLETON, RICHMONDSHIRE AND WHITBY CCG","NORTH YORKSHIRE AND HUMBER AREA","Pitolisant 18mg tablets","GREAT AYTON HEALTH CTR",NA,NA,NA,NA
"13","0404000W0AAAAAA",30,"CA16 6QR",202004,FALSE,"APPLEBY MEDICAL PRACTICE","04: Central Nervous System",288.18268,30,"Y63",1,"CUMBRIA",NA,"CHAPEL STREET","APPLEBY","0404000W0",0,"01H00","NORTH EAST AND YORKSHIRE",310,"Pitolisant hydrochloride","A82006","NORTH CUMBRIA CCG",NA,"Pitolisant 18mg tablets","THE RIVERSIDE BUILDING","CUMBRIA & NORTH EAST STP","QHM",NA,NA
"14","0404000W0AAAAAA",60,"LE18 4SE",202004,FALSE,"SOUTH WIGSTON HEALTH CTR.","04: Central Nervous System",576.35295,60,"Y60",1,"LEICESTERSHIRE",NA,"80 BLABY ROAD","SOUTH WIGSTON","0404000W0",0,"03W00","MIDLANDS",620,"Pitolisant hydrochloride","C82079","EAST LEICESTERSHIRE AND RUTLAND CCG",NA,"Pitolisant 18mg tablets","SOUTH WIGSTON HEALTH CTR","LEICESTER, LEICESTERSHIRE & RUTLAND STP","QK1",NA,NA
