ICB22NM,vtmnm,volume_ddd,rank
NHS South East London Integrated Care Board,Pitolisant,29962.5,1
NHS North East and North Cumbria Integrated Care Board,Pitolisant,28033,2
NHS Cheshire and Merseyside Integrated Care Board,Pitolisant,14497.5,3
NHS Greater Manchester Integrated Care Board,Pitolisant,7264.5,4
NHS North Central London Integrated Care Board,Pitolisant,2497.5,5
NHS Somerset Integrated Care Board,Pitolisant,1080,6
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Pitolisant,1020,7
NHS South Yorkshire Integrated Care Board,Pitolisant,900,8
NHS Hampshire and the Isle of Wight Integrated Care Board,Pitolisant,720,9
NHS North West London Integrated Care Board,Pitolisant,570,10
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Pitolisant,540,11
NHS Cambridgeshire and Peterborough Integrated Care Board,Pitolisant,442.5,12
NHS West Yorkshire Integrated Care Board,Pitolisant,247.5,13
NHS Birmingham and Solihull Integrated Care Board,Pitolisant,240,14
NHS Sussex Integrated Care Board,Pitolisant,172.5,15
"NHS Shropshire, Telford and Wrekin Integrated Care Board",Pitolisant,0,16
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Pitolisant,0,16
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Pitolisant,0,16
NHS Nottingham and Nottinghamshire Integrated Care Board,Pitolisant,0,16
NHS Humber and North Yorkshire Integrated Care Board,Pitolisant,0,16
NHS Gloucestershire Integrated Care Board,Pitolisant,0,16
NHS Devon Integrated Care Board,Pitolisant,0,16
NHS Cornwall and the Isles of Scilly Integrated Care Board,Pitolisant,0,16
NHS Black Country Integrated Care Board,Pitolisant,0,16
NHS Dorset Integrated Care Board,Pitolisant,0,16
NHS Lincolnshire Integrated Care Board,Pitolisant,0,16
NHS Kent and Medway Integrated Care Board,Pitolisant,0,16
NHS Derby and Derbyshire Integrated Care Board,Pitolisant,0,16
NHS Surrey Heartlands Integrated Care Board,Pitolisant,0,16
NHS Coventry and Warwickshire Integrated Care Board,Pitolisant,0,16
NHS Herefordshire and Worcestershire Integrated Care Board,Pitolisant,0,16
NHS Norfolk and Waveney Integrated Care Board,Pitolisant,0,16
NHS Suffolk and North East Essex Integrated Care Board,Pitolisant,0,16
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Pitolisant,0,16
NHS Hertfordshire and West Essex Integrated Care Board,Pitolisant,0,16
NHS Mid and South Essex Integrated Care Board,Pitolisant,0,16
NHS North East London Integrated Care Board,Pitolisant,0,16
NHS South West London Integrated Care Board,Pitolisant,0,16
NHS Frimley Integrated Care Board,Pitolisant,0,16
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Pitolisant,0,16
NHS Lancashire and South Cumbria Integrated Care Board,Pitolisant,0,16
NHS Northamptonshire Integrated Care Board,Pitolisant,0,16
