PRACTICE_CODE,PRACTICE_NAME,STP_CODE
A81001,THE DENSHAM SURGERY,QHM
A81002,QUEENS PARK MEDICAL CENTRE,QHM
A81004,BLUEBELL MEDICAL CENTRE,QHM
A81005,SPRINGWOOD SURGERY,QHM
A81006,TENNANT STREET MEDICAL PRACTICE,QHM
A81007,BANKHOUSE SURGERY,QHM
A81009,VILLAGE MEDICAL CENTRE,QHM
A81011,CHADWICK PRACTICE,QHM
A81012,WESTBOURNE MEDICAL CENTRE,QHM
A81013,BROTTON SURGERY,QHM
A81014,QUEENSTREE PRACTICE,QHM
A81016,PARK SURGERY,QHM
A81017,WOODBRIDGE PRACTICE,QHM
A81018,BENTLEY MEDICAL PRACTICE,QHM
A81019,CROSSFELL HEALTH CENTRE,QHM
A81020,MARTONSIDE MEDICAL CENTRE,QHM
A81021,NORMANBY MEDICAL CENTRE,QHM
A81022,HILLSIDE PRACTICE,QHM
A81023,THE ENDEAVOUR PRACTICE,QHM
A81025,THE DOVECOT SURGERY,QHM
A81026,LINTHORPE SURGERY,QHM
A81027,YARM MEDICAL PRACTICE,QHM
A81029,PROSPECT SURGERY,QHM
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,QHM
A81031,HAVELOCK GRANGE PRACTICE,QHM
A81032,THE GARTH,QHM
A81034,THORNABY & BARWICK MEDICAL GROUP,QHM
A81035,NEWLANDS MEDICAL CENTRE,QHM
A81036,NORTON MEDICAL CENTRE,QHM
A81037,THE ERIMUS PRACTICE,QHM
A81038,HIRSEL MEDICAL CENTRE,QHM
A81039,EAGLESCLIFFE MEDICAL PRACTICE,QHM
A81040,MARSH HOUSE MEDICAL PRACTICE,QHM
A81041,HART MEDICAL PRACTICE,QHM
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,QHM
A81043,THE MANOR HOUSE SURGERY,QHM
A81044,MCKENZIE HOUSE SURGERY,QHM
A81045,THE COATHAM ROAD SURGERY,QHM
A81046,WOODLANDS FAMILY MEDICAL CENTRE,QHM
A81048,ZETLAND MEDICAL PRACTICE,QHM
A81049,KINGS MEDICAL CENTRE,QHM
A81051,CAMBRIDGE MEDICAL GROUP,QHM
A81052,THE GREEN HOUSE SURGERY,QHM
A81053,WOODSIDE SURGERY,QHM
A81054,THE SALTSCAR SURGERY,QHM
A81056,MELROSE SURGERY,QHM
A81057,KINGSWAY MEDICAL CENTRE,QHM
A81058,COULBY MEDICAL PRACTICE,QHM
A81060,THE KOH PRACTICE,QHM
A81063,THE HEADLAND MEDICAL CENTRE,QHM
A81064,THE DISCOVERY PRACTICE,QHM
A81065,THE ESTON SURGERY,QHM
A81066,PARK LANE SURGERY,QHM
A81067,ALMA MEDICAL CENTRE,QHM
A81070,MCKENZIE GROUP PRACTICE,QHM
A81602,DR RASOOL,QHM
A81608,ELM TREE SURGERY,QHM
A81610,THE ROSEBERRY PRACTICE,QHM
A81611,PARKWAY MEDICAL CENTRE,QHM
A81612,THE PATEL PRACTICE,QHM
A81618,HUNTCLIFF SURGERY,QHM
A81621,THORNTREE SURGERY,QHM
A81622,GLADSTONE HOUSE SURGERY,QHM
A81629,RIVERSIDE MEDICAL PRACTICE,QHM
A81630,FOUNDATIONS,QHM
A81631,WEST VIEW MILLENIUM SURGERY A,QHM
A81633,FOUNDATIONS -HARRIS STREET,QHM
A81634,THE ARRIVAL PRACTICE,QHM
A82003,ULVERSTON HEALTH CENTRE (MURRAY),QE1
A82004,ALSTON MEDICAL PRACTICE,QHM
A82005,AMBLESIDE HEALTH CENTRE,QE1
A82006,APPLEBY MEDICAL PRACTICE,QHM
A82007,DUKE STREET SURGERY,QE1
A82008,NORWOOD MEDICAL CENTRE,QE1
A82009,BRIDGEGATE MEDICAL CENTRE,QE1
A82010,ABBEY ROAD SURGERY,QE1
A82012,BRAMPTON MEDICAL PRACTICE,QHM
A82013,UPPER EDEN MEDICAL PRACTICE,QHM
A82014,CALDBECK SURGERY,QHM
A82015,WARWICK ROAD SURGERY,QHM
A82016,CARLISLE HEALTHCARE,QHM
A82018,SPENCER ST SURGERY,QHM
A82019,FUSEHILL MEDICAL PRACTICE,QHM
A82020,EDEN MEDICAL GROUP,QHM
A82021,CASTLEGATE AND DERWENT SURGERY,QHM
A82022,DALSTON MEDICAL GROUP,QHM
A82023,DISTINGTON SURGERY,QHM
A82024,SEASCALE HEALTH CENTRE,QHM
A82025,CAPTAIN FRENCH SURGERY,QE1
A82026,THE JAMES COCHRANE PRACT.,QE1
A82027,STATION HOUSE SURGERY,QE1
A82028,CASTLEHEAD MEDICAL CENTRE,QHM
A82029,THE CROFT SURGERY,QHM
A82030,LUNESDALE SURGERY,QE1
A82031,SHAP MEDICAL PRACTICE,QHM
A82032,MARYPORT HEALTH SERVICES,QHM
A82033,WATERLOO HOUSE SURGERY,QE1
A82035,BIRBECK MEDICAL GROUP,QHM
A82036,THE LAKES MEDICAL PRACTICE,QHM
A82037,SILLOTH GROUP MEDICAL PRACTICE,QHM
A82038,TEMPLE SOWERBY MEDICAL PRACTICE,QHM
A82039,DALTON SURGERY,QE1
A82041,LOWTHER MEDICAL CENTRE,QHM
A82044,FELLVIEW HEALTHCARE,QHM
A82045,WIGTON GROUP MEDICAL PRACTICE,QHM
A82046,WINDERMERE HEALTH CENTRE,QE1
A82047,JAMES STREET GROUP PRACT,QHM
A82048,BEECHWOOD GROUP PRACTICE,QHM
A82049,ORCHARD HOUSE SURGERY,QHM
A82050,OXFORD STREET SURGERY,QHM
A82053,NUTWOOD MEDICAL PRACTICE,QE1
A82055,ASPATRIA MEDICAL GROUP,QHM
A82058,QUEEN STREET MEDICAL PRACTICE,QHM
A82062,ATKINSON HEALTH CENTRE,QE1
A82064,WESTCROFT HOUSE SURGERY,QHM
A82065,PENINSULA MEDICAL PRACTICE,QE1
A82068,ULVERSTON COMMUNITY HEALTH CENTRE,QE1
A82070,ST. MARY'S SURGERY,QE1
A82071,BURNETT EDGAR MEDICAL CTR,QE1
A82072,RISEDALE SURGERY,QE1
A82075,MANSION HOUSE SURGERY,QHM
A82077,LIVERPOOL HOUSE SURGERY,QE1
A82608,SEDBERGH MEDICAL PRACTICE,QE1
A82613,WRAYSDALE HOUSE SURGERY,QE1
A82617,KIRKOSWALD SURGERY,QHM
A82620,GLENRIDDING HEALTH CENTRE,QHM
A82623,SOLWAY HEALTH SERVICES,QHM
A82629,THE FAMILY PRACTICE,QE1
A82631,COURT THORN SURGERY,QHM
A82646,LONGTOWN MEDICAL CENTRE,QHM
A82647,CARTMEL SURGERY,QE1
A82650,HAVERTHWAITE SURGERY,QE1
A82651,DUDDON VALLEY MEDICAL PRACTICE,QE1
A82654,WARWICK SQUARE GROUP PRACTICE,QHM
A83001,ST ANDREW'S MEDICAL PRACTICE,QHM
A83003,WILLINGTON MEDICAL GROUP,QHM
A83005,WHINFIELD MEDICAL PRACTICE,QHM
A83006,ORCHARD COURT SURGERY,QHM
A83007,BLACKHALL AND PETERLEE PRACTICE,QHM
A83008,HALLGARTH SURGERY,QHM
A83009,BRIDGE END SURGERY,QHM
A83010,MOORLANDS SURGERY,QHM
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,QHM
A83012,WILLIAM BROWN CENTRE,QHM
A83013,NEASHAM ROAD SURGERY,QHM
A83014,BELMONT & SHERBURN MEDICAL GROUP,QHM
A83015,STATION VIEW MEDICAL CENTRE,QHM
A83016,TANFIELD VIEW MEDICAL GROUP,QHM
A83018,CONSETT MEDICAL CENTRE,QHM
A83020,NORTH HOUSE SURGERY,QHM
A83021,AUCKLAND MEDICAL GROUP,QHM
A83022,THE MEDICAL GROUP,QHM
A83023,STANLEY MEDICAL GROUP,QHM
A83024,WEST RAINTON SURGERY,QHM
A83025,BISHOPGATE MEDICAL CENTRE,QHM
A83026,SACRISTON MEDICAL CENTRE,QHM
A83027,COXHOE MEDICAL PRACTICE,QHM
A83028,MIDDLE CHARE MEDICAL GROUP,QHM
A83029,GREAT LUMLEY SURGERY,QHM
A83030,DUNELM MEDICAL PRACTICE,QHM
A83031,CARMEL MEDICAL PRACTICE,QHM
A83032,WOODVIEW MEDICAL PRACTICE,QHM
A83033,PELTON & FELLROSE MEDICAL GROUP,QHM
A83034,BLACKETTS MEDICAL PRACTICE,QHM
A83035,THE WEARDALE PRACTICE,QHM
A83036,CHASTLETON MEDICAL GROUP,QHM
A83037,BEWICK CRESCENT SURGERY,QHM
A83038,CEDARS MEDICAL GROUP,QHM
A83040,CLIFTON COURT MEDICAL PRACTICE,QHM
A83041,MURTON MEDICAL CENTRE,QHM
A83043,OLD FORGE SURGERY,QHM
A83044,THE HORDEN GROUP PRACTICE,QHM
A83045,FERRYHILL AND CHILTON MEDICAL PRACTICE,QHM
A83046,BARNARD CASTLE SURGERY,QHM
A83047,DENMARK STREET SURGERY,QHM
A83048,ROCKLIFFE COURT SURGERY,QHM
A83049,QUEENS ROAD SURGERY,QHM
A83050,CESTRIA HEALTH CENTRE,QHM
A83051,MARLBOROUGH SURGERY,QHM
A83052,BISHOPS CLOSE MEDICAL PRACTICE,QHM
A83054,SKERNE MEDICAL GROUP,QHM
A83055,CHEVELEY PARK MEDICAL CTR,QHM
A83057,EAST DURHAM MEDICAL GROUP,QHM
A83060,PINFOLD MEDICAL PRACTICE,QHM
A83061,GAINFORD SURGERY,QHM
A83066,JUBILEE MEDICAL GROUP,QHM
A83070,ST GEORGE'S MEDICAL PRACTICE,QHM
A83071,THE NEW SEAHAM MEDICAL GROUP,QHM
A83072,LANCHESTER MEDICAL CENTRE,QHM
A83073,DRS LAMBERT & NG,QHM
A83074,PEASE WAY MEDICAL CENTRE,QHM
A83075,BYRON MEDICAL PRACTICE,QHM
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,QHM
A83616,BEVAN MEDICAL GROUP,QHM
A83617,BROWNEY HOUSE SURGERY,QHM
A83618,OAKFIELDS HEALTH GROUP,QHM
A83619,SOUTHDENE MEDICAL CENTRE,QHM
A83622,THE HAVEN SURGERY,QHM
A83626,EVENWOOD MEDICAL PRACTICE,QHM
A83627,SILVERDALE FAMILY PRACTICE,QHM
A83630,DENHOLM HOUSE,QHM
A83632,CRAGHEAD MEDICAL CENTRE,QHM
A83634,WEST CORNFORTH MEDICAL CENTRE,QHM
A83635,BOWBURN MEDICAL CENTRE,QHM
A83636,LEADGATE SURGERY,QHM
A83637,GARDINER CRESCENT,QHM
A83641,PARKGATE SURGERY,QHM
A83644,ANNFIELD PLAIN SURGERY,QHM
A84002,THE ROTHBURY PRACTICE,QHM
A84003,LINTONVILLE MEDICAL GROUP,QHM
A84005,BEDLINGTONSHIRE MED.GROUP,QHM
A84006,ALNWICK MEDICAL GROUP,QHM
A84007,PONTELAND MEDICAL GROUP,QHM
A84008,BELFORD MEDICAL PRACTICE,QHM
A84009,RAILWAY MEDICAL GROUP,QHM
