year_month,ods_code,vmp_snomed_code,vmp_product_name,total_quantity
2020-12-01,RA7,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-12-01,RA9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-12-01,RBS,395522003,Sodium oxybate 500mg/ml oral solution sugar free,900
2020-12-01,RCU,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-12-01,REF,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-12-01,REM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,16740
2020-12-01,RGM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2340
2020-12-01,RHM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,4860
2020-12-01,RHQ,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2520
2020-12-01,RJ1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,23580
2020-12-01,RK5,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-12-01,RK9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-12-01,RM2,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-12-01,RM3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,10440
2020-12-01,RMP,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1260
2020-12-01,RPC,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3600
2020-12-01,RQ3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,180
2020-12-01,RRK,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-12-01,RRV,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1620
2020-12-01,RTD,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3240
2020-12-01,RTE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2880
2020-12-01,RTH,395522003,Sodium oxybate 500mg/ml oral solution sugar free,5760
2020-12-01,RTR,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-12-01,RWA,395522003,Sodium oxybate 500mg/ml oral solution sugar free,900
2020-12-01,RWE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-12-01,RWF,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2020-12-01,REM,33500000000000000,Pitolisant 18mg tablets,1080
2020-12-01,RJ1,33500000000000000,Pitolisant 18mg tablets,1830
2020-12-01,RJE,33500000000000000,Pitolisant 18mg tablets,180
2020-12-01,RM3,33500000000000000,Pitolisant 18mg tablets,120
2020-12-01,RRV,33500000000000000,Pitolisant 18mg tablets,180
2020-12-01,RTD,33500000000000000,Pitolisant 18mg tablets,1890
2020-12-01,RTR,33500000000000000,Pitolisant 18mg tablets,1500
2020-12-01,RWE,33500000000000000,Pitolisant 18mg tablets,60
2020-12-01,REM,33500000000000000,Pitolisant 4.5mg tablets,240
2020-12-01,RJ1,33500000000000000,Pitolisant 4.5mg tablets,150
2020-12-01,RM3,33500000000000000,Pitolisant 4.5mg tablets,56
2020-12-01,RPC,33500000000000000,Pitolisant 4.5mg tablets,93
2021-01-01,RA7,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2021-01-01,RA9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2021-01-01,RBA,395522003,Sodium oxybate 500mg/ml oral solution sugar free,900
2021-01-01,RBS,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2021-01-01,RCU,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2021-01-01,REF,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2021-01-01,REM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,14760
2021-01-01,RGM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3060
2021-01-01,RHM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2021-01-01,RHQ,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2700
2021-01-01,RJ1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,35460
2021-01-01,RJE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2021-01-01,RM3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,5400
2021-01-01,RMP,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2021-01-01,RPC,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2160
2021-01-01,RQ3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,180
2021-01-01,RR1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,4860
2021-01-01,RRV,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1620
2021-01-01,RTD,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2700
2021-01-01,RTH,395522003,Sodium oxybate 500mg/ml oral solution sugar free,7200
2021-01-01,RTR,395522003,Sodium oxybate 500mg/ml oral solution sugar free,6480
2021-01-01,RWA,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1980
2021-01-01,RWE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,900
2021-01-01,RWY,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2021-01-01,RX1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3780
2021-01-01,RXF,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1620
2021-01-01,RXV,395522003,Sodium oxybate 500mg/ml oral solution sugar free,180
2021-01-01,REM,33500000000000000,Pitolisant 18mg tablets,390
2021-01-01,RHQ,33500000000000000,Pitolisant 18mg tablets,60
2021-01-01,RJ1,33500000000000000,Pitolisant 18mg tablets,1590
2021-01-01,RM3,33500000000000000,Pitolisant 18mg tablets,161
2021-01-01,RRK,33500000000000000,Pitolisant 18mg tablets,180
2021-01-01,RTD,33500000000000000,Pitolisant 18mg tablets,570
2021-01-01,RTR,33500000000000000,Pitolisant 18mg tablets,900
2021-01-01,RWE,33500000000000000,Pitolisant 18mg tablets,60
2021-01-01,RA4,33500000000000000,Pitolisant 4.5mg tablets,34
2021-01-01,REM,33500000000000000,Pitolisant 4.5mg tablets,540
2021-01-01,RHQ,33500000000000000,Pitolisant 4.5mg tablets,120
2021-01-01,RJ1,33500000000000000,Pitolisant 4.5mg tablets,90
2021-01-01,RM3,33500000000000000,Pitolisant 4.5mg tablets,70
2020-06-01,RA7,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-06-01,RA9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-06-01,RBS,395522003,Sodium oxybate 500mg/ml oral solution sugar free,900
2020-06-01,RCU,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-06-01,REM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,19440
2020-06-01,RGM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1980
2020-06-01,RHM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,4680
2020-06-01,RHQ,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-06-01,RJ1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,22320
2020-06-01,RJE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2020-06-01,RK5,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-06-01,RM2,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-06-01,RM3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,5580
2020-06-01,RMP,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1260
2020-06-01,RPC,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3780
2020-06-01,RQ3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,180
2020-06-01,RR1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1440
2020-06-01,RRK,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-06-01,RTD,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2160
2020-06-01,RTH,395522003,Sodium oxybate 500mg/ml oral solution sugar free,6660
2020-06-01,RTR,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1440
2020-06-01,RWA,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-06-01,RWY,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-06-01,RX1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1800
2020-07-01,RA7,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-07-01,RA9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-07-01,RBA,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2020-07-01,RBS,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-07-01,RCF,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-07-01,RCU,395522003,Sodium oxybate 500mg/ml oral solution sugar free,566
2020-07-01,REM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,10080
2020-07-01,RGM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-07-01,RHM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1980
2020-07-01,RHQ,395522003,Sodium oxybate 500mg/ml oral solution sugar free,900
2020-07-01,RJ1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,33300
2020-07-01,RJE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2020-07-01,RK5,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-07-01,RK9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-07-01,RM3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,14400
2020-07-01,RMP,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-07-01,RPC,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3240
2020-07-01,RQ3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-07-01,RR1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2520
2020-07-01,RTD,395522003,Sodium oxybate 500mg/ml oral solution sugar free,2160
2020-07-01,RTH,395522003,Sodium oxybate 500mg/ml oral solution sugar free,4500
2020-07-01,RTR,395522003,Sodium oxybate 500mg/ml oral solution sugar free,4320
2020-07-01,RWA,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1980
2020-07-01,RWY,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-07-01,RX1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3780
2020-07-01,RXT,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1440
2020-08-01,RA7,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-08-01,RA9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-08-01,RCU,395522003,Sodium oxybate 500mg/ml oral solution sugar free,399
2020-08-01,REM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,18000
2020-08-01,RGM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-08-01,RH8,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1440
2020-08-01,RHM,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3060
2020-08-01,RHQ,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1620
2020-08-01,RJ1,395522003,Sodium oxybate 500mg/ml oral solution sugar free,20160
2020-08-01,RJE,395522003,Sodium oxybate 500mg/ml oral solution sugar free,720
2020-08-01,RK5,395522003,Sodium oxybate 500mg/ml oral solution sugar free,360
2020-08-01,RK9,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
2020-08-01,RM2,395522003,Sodium oxybate 500mg/ml oral solution sugar free,1080
2020-08-01,RM3,395522003,Sodium oxybate 500mg/ml oral solution sugar free,3960
2020-08-01,RMP,395522003,Sodium oxybate 500mg/ml oral solution sugar free,540
