ICB22NM,vtmnm,volume_ddd,rank
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Sodium oxybate,31224,1
NHS Cambridgeshire and Peterborough Integrated Care Board,Sodium oxybate,15708,2
NHS Northamptonshire Integrated Care Board,Sodium oxybate,15612,3
NHS Sussex Integrated Care Board,Sodium oxybate,12456,4
NHS Suffolk and North East Essex Integrated Care Board,Sodium oxybate,9708,5
NHS Devon Integrated Care Board,Sodium oxybate,8040,6
NHS North East and North Cumbria Integrated Care Board,Sodium oxybate,7596,7
NHS Lincolnshire Integrated Care Board,Sodium oxybate,5508,8
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Sodium oxybate,5484,9
NHS North East London Integrated Care Board,Sodium oxybate,5316,10
NHS South East London Integrated Care Board,Sodium oxybate,4824,11
NHS Norfolk and Waveney Integrated Care Board,Sodium oxybate,3024,12
NHS West Yorkshire Integrated Care Board,Sodium oxybate,2676,13
NHS Kent and Medway Integrated Care Board,Sodium oxybate,2520,14
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Sodium oxybate,2424,15
NHS Gloucestershire Integrated Care Board,Sodium oxybate,2292,16
NHS Humber and North Yorkshire Integrated Care Board,Sodium oxybate,1812,17
NHS South Yorkshire Integrated Care Board,Sodium oxybate,1812,18
NHS Mid and South Essex Integrated Care Board,Sodium oxybate,1620,19
NHS Surrey Heartlands Integrated Care Board,Sodium oxybate,1524,20
NHS Coventry and Warwickshire Integrated Care Board,Sodium oxybate,1476,21
NHS Cheshire and Merseyside Integrated Care Board,Sodium oxybate,1404,22
NHS Lancashire and South Cumbria Integrated Care Board,Sodium oxybate,1224,23
NHS Derby and Derbyshire Integrated Care Board,Sodium oxybate,1092,24
NHS Black Country Integrated Care Board,Sodium oxybate,636,25
NHS Hampshire and the Isle of Wight Integrated Care Board,Sodium oxybate,600,26
NHS Herefordshire and Worcestershire Integrated Care Board,Sodium oxybate,456,27
NHS Hertfordshire and West Essex Integrated Care Board,Sodium oxybate,432,28
NHS North West London Integrated Care Board,Sodium oxybate,336,29
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Sodium oxybate,324,30
NHS North Central London Integrated Care Board,Sodium oxybate,312,31
NHS South West London Integrated Care Board,Sodium oxybate,216,32
NHS Nottingham and Nottinghamshire Integrated Care Board,Sodium oxybate,180,33
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Sodium oxybate,96,34
NHS Dorset Integrated Care Board,Sodium oxybate,36,35
NHS Somerset Integrated Care Board,Sodium oxybate,12,36
NHS Birmingham and Solihull Integrated Care Board,Sodium oxybate,0,37
NHS Cornwall and the Isles of Scilly Integrated Care Board,Sodium oxybate,0,37
NHS Frimley Integrated Care Board,Sodium oxybate,0,37
NHS Greater Manchester Integrated Care Board,Sodium oxybate,0,37
"NHS Shropshire, Telford and Wrekin Integrated Care Board",Sodium oxybate,0,37
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Sodium oxybate,0,37
