ICB22NM,vtmnm,volume_ddd,rank
NHS South East London Integrated Care Board,Sodium oxybate,98136,1
NHS Cheshire and Merseyside Integrated Care Board,Sodium oxybate,57768,2
NHS Greater Manchester Integrated Care Board,Sodium oxybate,31596,3
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Sodium oxybate,18948,4
NHS North East and North Cumbria Integrated Care Board,Sodium oxybate,17687.6,5
NHS Hampshire and the Isle of Wight Integrated Care Board,Sodium oxybate,10956,6
NHS Sussex Integrated Care Board,Sodium oxybate,9192,7
NHS Birmingham and Solihull Integrated Care Board,Sodium oxybate,8364,8
NHS South Yorkshire Integrated Care Board,Sodium oxybate,8347.2,9
NHS Nottingham and Nottinghamshire Integrated Care Board,Sodium oxybate,6938.4,10
NHS West Yorkshire Integrated Care Board,Sodium oxybate,5268,11
NHS Cambridgeshire and Peterborough Integrated Care Board,Sodium oxybate,5256,12
NHS North Central London Integrated Care Board,Sodium oxybate,4848,13
NHS Humber and North Yorkshire Integrated Care Board,Sodium oxybate,4352,14
NHS Devon Integrated Care Board,Sodium oxybate,2268,15
NHS Black Country Integrated Care Board,Sodium oxybate,1512,16
NHS Gloucestershire Integrated Care Board,Sodium oxybate,1392,17
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Sodium oxybate,1248,18
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Sodium oxybate,1188,19
NHS Cornwall and the Isles of Scilly Integrated Care Board,Sodium oxybate,996,20
NHS Lincolnshire Integrated Care Board,Sodium oxybate,900,21
NHS Kent and Medway Integrated Care Board,Sodium oxybate,720,22
NHS Somerset Integrated Care Board,Sodium oxybate,661.3333333,23
NHS Dorset Integrated Care Board,Sodium oxybate,612,24
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Sodium oxybate,504,25
NHS North West London Integrated Care Board,Sodium oxybate,156,26
NHS Derby and Derbyshire Integrated Care Board,Sodium oxybate,12,27
NHS Surrey Heartlands Integrated Care Board,Sodium oxybate,12,27
NHS Coventry and Warwickshire Integrated Care Board,Sodium oxybate,0,29
NHS Herefordshire and Worcestershire Integrated Care Board,Sodium oxybate,0,29
NHS Norfolk and Waveney Integrated Care Board,Sodium oxybate,0,29
NHS Suffolk and North East Essex Integrated Care Board,Sodium oxybate,0,29
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Sodium oxybate,0,29
NHS Hertfordshire and West Essex Integrated Care Board,Sodium oxybate,0,29
NHS Mid and South Essex Integrated Care Board,Sodium oxybate,0,29
"NHS Shropshire, Telford and Wrekin Integrated Care Board",Sodium oxybate,0,29
NHS North East London Integrated Care Board,Sodium oxybate,0,29
NHS South West London Integrated Care Board,Sodium oxybate,0,29
NHS Frimley Integrated Care Board,Sodium oxybate,0,29
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Sodium oxybate,0,29
NHS Lancashire and South Cumbria Integrated Care Board,Sodium oxybate,0,29
NHS Northamptonshire Integrated Care Board,Sodium oxybate,0,29
