ICB22NM,vtmnm,volume_ddd,rank
NHS Birmingham and Solihull Integrated Care Board,Pitolisant,1980,11
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Pitolisant,30,17
NHS Cambridgeshire and Peterborough Integrated Care Board,Pitolisant,1106.75,13
NHS Cheshire and Merseyside Integrated Care Board,Pitolisant,42547.5,3
NHS North East and North Cumbria Integrated Care Board,Pitolisant,109765,1
NHS Greater Manchester Integrated Care Board,Pitolisant,11206,4
NHS Hampshire and the Isle of Wight Integrated Care Board,Pitolisant,3596,6
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Pitolisant,3980,5
NHS North Central London Integrated Care Board,Pitolisant,3285,7
NHS North West London Integrated Care Board,Pitolisant,723.5,14
NHS South East London Integrated Care Board,Pitolisant,85087.5,2
"NHS Shropshire, Telford and Wrekin Integrated Care Board",Pitolisant,37.5,16
NHS Somerset Integrated Care Board,Pitolisant,2326.5,8
NHS South Yorkshire Integrated Care Board,Pitolisant,2280,9
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Pitolisant,2251,10
NHS Sussex Integrated Care Board,Pitolisant,1182.75,12
NHS West Yorkshire Integrated Care Board,Pitolisant,247.5,15
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Pitolisant,0,18
NHS Nottingham and Nottinghamshire Integrated Care Board,Pitolisant,0,18
NHS Humber and North Yorkshire Integrated Care Board,Pitolisant,0,18
NHS Devon Integrated Care Board,Pitolisant,0,18
NHS Black Country Integrated Care Board,Pitolisant,0,18
NHS Gloucestershire Integrated Care Board,Pitolisant,0,18
NHS Cornwall and the Isles of Scilly Integrated Care Board,Pitolisant,0,18
NHS Lincolnshire Integrated Care Board,Pitolisant,0,18
NHS Kent and Medway Integrated Care Board,Pitolisant,0,18
NHS Dorset Integrated Care Board,Pitolisant,0,18
NHS Derby and Derbyshire Integrated Care Board,Pitolisant,0,18
NHS Surrey Heartlands Integrated Care Board,Pitolisant,0,18
NHS Coventry and Warwickshire Integrated Care Board,Pitolisant,0,18
NHS Herefordshire and Worcestershire Integrated Care Board,Pitolisant,0,18
NHS Norfolk and Waveney Integrated Care Board,Pitolisant,0,18
NHS Suffolk and North East Essex Integrated Care Board,Pitolisant,0,18
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Pitolisant,0,18
NHS Hertfordshire and West Essex Integrated Care Board,Pitolisant,0,18
NHS Mid and South Essex Integrated Care Board,Pitolisant,0,18
NHS North East London Integrated Care Board,Pitolisant,0,18
NHS South West London Integrated Care Board,Pitolisant,0,18
NHS Frimley Integrated Care Board,Pitolisant,0,18
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Pitolisant,0,18
NHS Lancashire and South Cumbria Integrated Care Board,Pitolisant,0,18
NHS Northamptonshire Integrated Care Board,Pitolisant,0,18
