PRACTICE_CODE,STP_CODE,ICB_CODE,ICB_NAME
A81001,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81002,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81004,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81005,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81006,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81007,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81009,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81011,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81012,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81013,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81014,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81016,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81017,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81018,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81019,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81020,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81021,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81022,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81023,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81025,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81026,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81027,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81029,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81030,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81031,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81032,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81034,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81035,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81036,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81037,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81038,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81039,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81040,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81041,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81042,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81044,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81045,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81046,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81048,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81049,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81051,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81052,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81053,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81054,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81056,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81057,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81058,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81060,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81063,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81064,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81065,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81066,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81067,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81070,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81602,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81608,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81610,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81611,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81612,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81618,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81621,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81622,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81629,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81630,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81631,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81633,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A81634,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82003,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82004,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82005,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82006,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82007,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82008,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82009,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82010,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82012,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82013,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82014,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82015,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82016,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82018,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82019,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82020,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82021,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82022,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82023,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82024,QHM,QHM,NHS North East and North Cumbria Integrated Care Board
A82025,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
A82026,QE1,QE1,NHS Lancashire and South Cumbria Integrated Care Board
