ICB22NM,TOTAL_QUANTITY,DDDs,,ICB_NAME
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",7020,468,,
NHS Black Country Integrated Care Board,2160,144,,
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",13500,900,,
NHS Cambridgeshire and Peterborough Integrated Care Board,50760,3384,,
NHS Cheshire and Merseyside Integrated Care Board,4320,288,,
NHS Coventry and Warwickshire Integrated Care Board,4320,288,,
NHS Devon Integrated Care Board,23040,1536,,
NHS Gloucestershire Integrated Care Board,10260,684,,
NHS Herefordshire and Worcestershire Integrated Care Board,1800,120,,
NHS Hertfordshire and West Essex Integrated Care Board,5400,360,,
NHS Humber and North Yorkshire Integrated Care Board,7020,468,,
NHS Kent and Medway Integrated Care Board,6480,432,,
NHS Lancashire and South Cumbria Integrated Care Board,4320,288,,
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",114840,7656,,
NHS Lincolnshire Integrated Care Board,22320,1488,,
NHS Mid and South Essex Integrated Care Board,5400,360,,
NHS Norfolk and Waveney Integrated Care Board,12780,852,,
NHS North East London Integrated Care Board,15300,1020,,
NHS North East and North Cumbria Integrated Care Board,40500,2700,,
NHS Northamptonshire Integrated Care Board,47700,3180,,
NHS South East London Integrated Care Board,14760,984,,
NHS South Yorkshire Integrated Care Board,6480,432,,
NHS Suffolk and North East Essex Integrated Care Board,32940,2196,,
NHS Surrey Heartlands Integrated Care Board,6480,432,,
NHS Sussex Integrated Care Board,36000,2400,,
NHS West Yorkshire Integrated Care Board,10440,696,,
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",0,0,,
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",0,0,,
NHS Derby and Derbyshire Integrated Care Board,0,0,,
NHS Dorset Integrated Care Board,0,0,,
NHS Hampshire and the Isle of Wight Integrated Care Board,0,0,,
NHS North Central London Integrated Care Board,0,0,,
NHS North West London Integrated Care Board,0,0,,
NHS Nottingham and Nottinghamshire Integrated Care Board,0,0,,
NHS Somerset Integrated Care Board,0,0,,
NHS South West London Integrated Care Board,0,0,,
NHS Birmingham and Solihull Integrated Care Board,0,0,,
NHS Cornwall and the Isles of Scilly Integrated Care Board,0,0,,
NHS Frimley Integrated Care Board,0,0,,
"NHS Shropshire, Telford and Wrekin Integrated Care Board",0,0,,
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,,
NHS Greater Manchester Integrated Care Board,0,0,,
