ICB22NM,DDDs
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",0
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",75
NHS Birmingham and Solihull Integrated Care Board,0
NHS Black Country Integrated Care Board,0
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",0
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",142.5
NHS Cambridgeshire and Peterborough Integrated Care Board,4139
NHS Cheshire and Merseyside Integrated Care Board,75
NHS Cornwall and the Isles of Scilly Integrated Care Board,0
NHS Coventry and Warwickshire Integrated Care Board,2294.5
NHS Derby and Derbyshire Integrated Care Board,60
NHS Devon Integrated Care Board,0
NHS Dorset Integrated Care Board,0
NHS Frimley Integrated Care Board,0
NHS Gloucestershire Integrated Care Board,0
NHS Greater Manchester Integrated Care Board,684.5
NHS Hampshire and the Isle of Wight Integrated Care Board,742.5
NHS Herefordshire and Worcestershire Integrated Care Board,0
NHS Hertfordshire and West Essex Integrated Care Board,0
NHS Humber and North Yorkshire Integrated Care Board,8631
NHS Kent and Medway Integrated Care Board,596
NHS Lancashire and South Cumbria Integrated Care Board,0
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",13156
NHS Lincolnshire Integrated Care Board,0
NHS Mid and South Essex Integrated Care Board,540
NHS Norfolk and Waveney Integrated Care Board,0
NHS North Central London Integrated Care Board,28
NHS North East and North Cumbria Integrated Care Board,7161.5
NHS North East London Integrated Care Board,0
NHS North West London Integrated Care Board,345
NHS Northamptonshire Integrated Care Board,118
NHS Nottingham and Nottinghamshire Integrated Care Board,0
"NHS Shropshire, Telford and Wrekin Integrated Care Board",0
NHS Somerset Integrated Care Board,0
NHS South East London Integrated Care Board,0
NHS South West London Integrated Care Board,0
NHS South Yorkshire Integrated Care Board,0
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,748
NHS Suffolk and North East Essex Integrated Care Board,0
NHS Surrey Heartlands Integrated Care Board,228
NHS Sussex Integrated Care Board,1031
NHS West Yorkshire Integrated Care Board,5325
