date,id,name,y_items,y_actual_cost,x_items,x_actual_cost,,,
01/01/2019,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",0,0,0,0,,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",
01/01/2019,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1,1002.41,0,0,,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",y
01/01/2019,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,0,0,0,0,,NHS Birmingham and Solihull Integrated Care Board,
01/01/2019,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,0,0,0,0,,NHS Black Country Integrated Care Board,
01/01/2019,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",0,0,0,0,,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",
01/01/2019,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",2,3027.22,0,0,,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",
01/01/2019,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,7,7016.87,0,0,,NHS Cambridgeshire and Peterborough Integrated Care Board,
01/01/2019,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,1,1083.4,0,0,,NHS Cheshire and Merseyside Integrated Care Board,
01/01/2019,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,0,0,0,0,,NHS Cornwall and the Isles of Scilly Integrated Care Board,
01/01/2019,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,0,0,0,0,,NHS Coventry and Warwickshire Integrated Care Board,
01/01/2019,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,0,0,0,0,,NHS Derby and Derbyshire Integrated Care Board,
01/01/2019,QJK,NHS DEVON INTEGRATED CARE BOARD,4,3422.37,0,0,,NHS Devon Integrated Care Board,
01/01/2019,QVV,NHS DORSET INTEGRATED CARE BOARD,0,0,0,0,,NHS Dorset Integrated Care Board,
01/01/2019,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,0,0,0,0,,NHS Frimley Integrated Care Board,
01/01/2019,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1,1002.41,0,0,,NHS Gloucestershire Integrated Care Board,
01/01/2019,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,0,0,0,0,,NHS Greater Manchester Integrated Care Board,
01/01/2019,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,0,0,0,0,,NHS Hampshire and the Isle of Wight Integrated Care Board,
01/01/2019,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,0,0,0,0,,NHS Herefordshire and Worcestershire Integrated Care Board,
01/01/2019,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1,1002.41,0,0,,NHS Hertfordshire and West Essex Integrated Care Board,
01/01/2019,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1,1088.91,0,0,,NHS Humber and North Yorkshire Integrated Care Board,
01/01/2019,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,2,668.29,0,0,,NHS Kent and Medway Integrated Care Board,
01/01/2019,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,688.28,0,0,,NHS Lancashire and South Cumbria Integrated Care Board,
01/01/2019,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",16,13901.63,0,0,,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",
