"AREA_TEAM_CODE","BNF_CHEMICAL_SUBSTANCE","bnf_code","bnf_presentation","comm_region_code","comm_region_name","ddd","df_descr","df_ind_cd","form_cd","form_descr","ICB_CODE","ICB_NAME","ITEMS","NIC","PRACTICE_CODE","stp_code","stp_name","strnt_dnmtr_descr","strnt_dnmtr_val","strnt_nmrtr_uom","strnt_nmrtr_val","total_quantity","udfs","udfs_descr","unit_dose_descr","vmp_product_name","vmp_snomed_code","volume_ddd","volume_mg_strength","volume_singles","vtmid","vtmnm","year_month"
"Q58","0404000W0","0404000W0AAABAB","Pitolisant 4.5mg tablets","Y61","East of England",18,"Discrete",1,"385055001","Tablet","QHG","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",1,620,"K82610","QHG","Bedfordshire, Luton and Milton Keynes",NA,NA,"mg",4.5,60,1,"tablet","tablet","Pitolisant 4.5mg tablets","33470611000001100",15,270,60,"33474111000001100","Pitolisant","2019-01-01"
"Q45","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y63","North East and Yorkshire",18,"Discrete",1,"385055001","Tablet","QHM","NHS North East and North Cumbria Integrated Care Board",3,434.01,"A83022","QHM","Cumbria and North East",NA,NA,"mg",18,42,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",42,756,42,"33474111000001100","Pitolisant","2019-01-01"
"Q45","0404000W0","0404000W0AAABAB","Pitolisant 4.5mg tablets","Y63","North East and Yorkshire",18,"Discrete",1,"385055001","Tablet","QHM","NHS North East and North Cumbria Integrated Care Board",1,930,"A83024","QHM","Cumbria and North East",NA,NA,"mg",4.5,90,1,"tablet","tablet","Pitolisant 4.5mg tablets","33470611000001100",22.5,405,90,"33474111000001100","Pitolisant","2019-01-01"
"Q55","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y60","Midlands",18,"Discrete",1,"385055001","Tablet","QJ2","NHS Derby and Derbyshire Integrated Care Board",1,310,"C81073","QJ2","Joined Up Care Derbyshire",NA,NA,"mg",18,30,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",30,540,30,"33474111000001100","Pitolisant","2019-01-01"
"Q68","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y59","South East",18,"Discrete",1,"385055001","Tablet","QNX","NHS Sussex Integrated Care Board",1,310,"H82100","QNX","Sussex and East Surrey Health and Care Partnership",NA,NA,"mg",18,30,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",30,540,30,"33474111000001100","Pitolisant","2019-01-01"
"Q50","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y63","North East and Yorkshire",18,"Discrete",1,"385055001","Tablet","QOQ","NHS Humber and North Yorkshire Integrated Care Board",1,578.67,"B82014","QOQ","Humber, Coast and Vale",NA,NA,"mg",18,56,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",56,1008,56,"33474111000001100","Pitolisant","2019-01-01"
"Q50","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y63","North East and Yorkshire",18,"Discrete",1,"385055001","Tablet","QOQ","NHS Humber and North Yorkshire Integrated Care Board",1,310,"B82104","QOQ","Humber, Coast and Vale",NA,NA,"mg",18,30,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",30,540,30,"33474111000001100","Pitolisant","2019-01-01"
"Q56","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y61","East of England",18,"Discrete",1,"385055001","Tablet","QUE","NHS Cambridgeshire and Peterborough Integrated Care Board",1,620,"D81043","QUE","Cambridgeshire and Peterborough",NA,NA,"mg",18,60,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",60,1080,60,"33474111000001100","Pitolisant","2019-01-01"
"Q52","0404000W0","0404000W0AAAAAA","Pitolisant 18mg tablets","Y63","North East and Yorkshire",18,"Discrete",1,"385055001","Tablet","QWO","NHS West Yorkshire Integrated Care Board",1,620,"B84008","QWO","West Yorkshire and Harrogate (Health and Care Partnership)",NA,NA,"mg",18,60,1,"tablet","tablet","Pitolisant 18mg tablets","33470511000001100",60,1080,60,"33474111000001100","Pitolisant","2019-01-01"
"Q58","0404000W0","0404000W0AAABAB","Pitolisant 4.5mg tablets","Y61","East of England",18,"Discrete",1,"385055001","Tablet","QHG","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",1,620,"K82610","QHG","Bedfordshire, Luton and Milton Keynes",NA,NA,"mg",4.5,60,1,"tablet","tablet","Pitolisant 4.5mg tablets","33470611000001100",15,270,60,"33474111000001100","Pitolisant","2019-02-01"
