type,id,bnf_code,nm,ingredient,ddd
vmp,NA,0404000L0AAAFAF,Amfetamine 10mg / Dexamfetamine 10mg modified-release capsules,Dexamfetamine,NA
vmp,NA,0404000L0AABFBF,Amfetamine 12.5mg / Dexamfetamine 12.5mg modified-release capsules,Dexamfetamine,NA
vmp,NA,0404000L0AAAYAY,Amfetamine 15mg / Dexamfetamine 15mg modified-release capsules,Dexamfetamine,NA
vmp,NA,0404000L0AABDBD,Amfetamine 2.5mg / Dexamfetamine 2.5mg modified-release capsules,Dexamfetamine,NA
vmp,NA,0404000L0AABHBH,Amfetamine 5mg / Dexamfetamine 5mg modified-release capsules,Dexamfetamine,NA
vmp,NA,0404000L0AAAVAV,Amfetamine 5mg / Dexamfetamine 5mg tablets,Dexamfetamine,NA
vmp,NA,0404000L0AABEBE,Amfetamine 7.5mg / Dexamfetamine 7.5mg modified-release capsules,Dexamfetamine,NA
vmp,NA,0404000L0AAAQAQ,Dexamfetamine 100mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAQAQ,Dexamfetamine 100mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABABA,Dexamfetamine 10mg modified-release capsules,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABNBN,Dexamfetamine 10mg tablets,Dexamfetamine sulfate,15
vmp,NA,NA,Dexamfetamine 10mg tablets.,Dexamfetamine sulfate,NA
vmp,NA,0404000L0AAANAN,Dexamfetamine 10mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAANAN,Dexamfetamine 10mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAPAP,Dexamfetamine 125mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAPAP,Dexamfetamine 125mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAABAB,Dexamfetamine 15mg modified-release capsules,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAATAT,Dexamfetamine 2.5mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAATAT,Dexamfetamine 2.5mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABPBP,Dexamfetamine 20mg tablets,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABJBJ,Dexamfetamine 20mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAUAU,Dexamfetamine 3mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAUAU,Dexamfetamine 3mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABBBB,Dexamfetamine 45mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABBBB,Dexamfetamine 45mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABCBC,Dexamfetamine 5mg modified-release capsules,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAJAJ,Dexamfetamine 5mg tablets,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAAMAM,Dexamfetamine 5mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AABMBM,Dexamfetamine 5mg/5ml oral solution sugar free,Dexamfetamine sulfate,15
vmp,NA,NA,Dexamfetamine 5mg/5ml oral solution sugar- free,Dexamfetamine sulfate,NA
vmp,NA,0404000L0AAAMAM,Dexamfetamine 5mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAARAR,Dexamfetamine 7.5mg/5ml oral solution,Dexamfetamine sulfate,15
vmp,NA,0404000L0AAARAR,Dexamfetamine 7.5mg/5ml oral suspension,Dexamfetamine sulfate,15
vmp,NA,190400000AAJNJN,Dexamfetamine powder,Dexamfetamine sulfate,NA
vmp,NA,0404000W0AAAAAA,Pitolisant 18mg tablets,Pitolisant hydrochloride,18
vmp,NA,0404000W0AAABAB,Pitolisant 4.5mg tablets,Pitolisant hydrochloride,18
vmp,NA,NA,Solriamfetol 150mg tablets,Solriamfetol hydrochloride,NA
vmp,NA,NA,Solriamfetol 75mg tablets,Solriamfetol hydrochloride,NA
